123	application/vnd.lotus-1-2-3
onetoc	application/onenote
onetoc2	application/onenote
opf	application/oebps-package+xml
oprc	application/vnd.palm
org	application/vnd.lotus-organizer
osf	application/vnd.yamaha.openscoreformat
osfpvg	application/vnd.yamaha.openscoreformat.osfpvg+xml
otc	application/vnd.oasis.opendocument.chart-template
otf	application/vnd.oasis.opendocument.formula-template
otg	application/vnd.oasis.opendocument.graphics-template
oth	application/vnd.oasis.opendocument.text-web
oti	application/vnd.oasis.opendocument.image-template
otp	application/vnd.oasis.opendocument.presentation-template
ots	application/vnd.oasis.opendocument.spreadsheet-template
ott	application/vnd.oasis.opendocument.text-template
oxt	application/vnd.openofficeorg.extension
p	text/x-pascal
p10	application/pkcs10
p12	application/pkcs-12
p7a	application/x-pkcs7-signature
p7b	application/x-pkcs7-certificates
p7c	application/pkcs7-mime
p7m	application/pkcs7-mime
p7r	application/x-pkcs7-certreqresp
p7s	application/pkcs7-signature
p8	application/pkcs8
pac	audio/x-pac
pae	audio/x-epac
page	application/x-coda
part	application/pro_eng
pas	text/pascal
paw	application/vnd.pawaafile
pbd	application/vnd.powerbuilder6
pbm	image/x-portable-bitmap
pcast	application/x-podcast
pcd	image/x-photo-cd
pcf	application/x-font-pcf
pcl	application/x-pcl
pclxl	application/vnd.hp-pclxl
pct	image/x-pict
pcurl	application/vnd.curl.pcurl
pcx	image/x-pcx
pdb	chemical/x-pdb
pdf	application/pdf
pdx	application/vnd.adobe.pdx
pfa	application/x-font-type1
pfb	application/x-font-type1
pfm	application/x-font-type1
pfr	application/font-tdpfr
pfunk	audio/make
pfx	application/x-pkcs12
pgm	image/x-portable-graymap
pgn	application/x-chess-pgn
pgp	application/x-pgp-plugin
pgr	text/parsnegar-document
php	application/x-httpd-php
php3	application/x-httpd-php3
php4	application/x-httpd-php
phps	application/x-httpd-php-source
phtml	application/x-httpd-php4
pic	image/pict
pict	image/pict
pinstall	application/x-picasa-detect
pjp	image/jpeg
pjpeg	image/jpeg
pkg	application/x-newton-compatible-pkg
pki	application/pkixcmp
pkipath	application/pkix-pkipath
pko	application/vnd.ms-pki.pko
pl	text/plain
plb	application/vnd.3gpp.pic-bw-large
plc	application/vnd.mobius.plc
plf	application/vnd.pocketlearn
pls	audio/x-scpls
plx	application/x-pixclscript
pm	image/x-xpixmap
pm4	application/x-pagemaker
pm5	application/x-pagemaker
pml	application/vnd.ctc-posml
png	image/png
pnm	image/x-portable-anymap
pntg	image/x-macpaint
portpkg	application/vnd.macports.portpkg
pot	application/mspowerpoint
potm	application/vnd.ms-powerpoint.template.macroenabled.12
potx	application/vnd.openxmlformats-officedocument.presentationml.template
pov	model/x-pov
ppa	application/vnd.ms-powerpoint
ppam	application/vnd.ms-powerpoint.addin.macroenabled.12
ppd	application/vnd.cups-ppd
ppm	image/x-portable-pixmap
pps	application/mspowerpoint
ppsm	application/vnd.ms-powerpoint.slideshow.macroenabled.12
ppsx	application/vnd.openxmlformats-officedocument.presentationml.slideshow
ppt	application/powerpoint
pptm	application/vnd.ms-powerpoint.presentation.macroenabled.12
pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
ppz	application/mspowerpoint
pqa	application/vnd.palm
pqf	application/x-cprplayer
pqi	application/cprplayer
prc	application/x-mobipocket-ebook
pre	application/x-freelance
prf	application/pics-rules
proxy	application/x-ns-proxy-autoconfig
prt	application/pro_eng
ps	application/postscript
psb	application/vnd.3gpp.pic-bw-small
psf	application/x-font-linux-psf
pskcxml	application/pskc+xml
psr	application/datawindow
ptid	application/vnd.pvi.ptid1
ptlk	application/listenup
pub	application/x-mspublisher
push	multipart/x-mixed-replace
pvb	application/vnd.3gpp.pic-bw-var
pvu	paleovu/x-pv
pwn	application/vnd.3m.post-it-notes
pwz	application/vnd.ms-powerpoint
py	text/x-script.phyton
pya	audio/vnd.ms-playready.media.pya
pyc	applicaiton/x-bytecode.python
pyv	video/vnd.ms-playready.media.pyv
qam	application/vnd.epson.quickanime
qbo	application/vnd.intu.qbo
qcp	audio/vnd.qcelp
qd3	x-world/x-3dmf
qd3d	x-world/x-3dmf
qfx	application/vnd.intu.qfx
qif	application/x-qif
qps	application/vnd.publishare-delta-tree
qrt	application/quest
qt	video/quicktime
qtc	video/x-qtc
qti	image/x-quicktime
qtif	image/x-quicktime
qtl	application/x-quicktimeplayer
qwd	application/vnd.quark.quarkxpress
qwt	application/vnd.quark.quarkxpress
qxb	application/vnd.quark.quarkxpress
qxd	application/vnd.quark.quarkxpress
qxl	application/vnd.quark.quarkxpress
qxt	application/vnd.quark.quarkxpress
r3t	text/vnd.rn-realtext3d
ra	audio/x-realaudio
ram	audio/x-pn-realaudio
rar	application/rar
ras	image/cmu-raster
rast	image/cmu-raster
rcprofile	application/vnd.ipunplugged.rcprofile
rdf	application/rdf+xml
rdz	application/vnd.data-vision.rdz
rec	application/vnd.rn-recording
rep	application/vnd.businessobjects
res	application/x-dtbresource+xml
rexx	text/x-script.rexx
rf	image/vnd.rn-realflash
rgb	image/x-rgb
rif	application/reginfo+xml
rip	image/rip
rl	application/resource-lists+xml
rlc	image/vnd.fujixerox.edmics-rlc
rld	application/resource-lists-diff+xml
rm	audio/x-pn-realaudio
rmf	audio/rmf
rmi	audio/mid
rmm	audio/x-pn-realaudio
rmp	audio/x-pn-realaudio
rms	application/vnd.jcp.javame.midlet-rms
rnc	application/relax-ng-compact-syntax
rng	application/ringing-tones
rnx	application/vnd.rn-realplayer
roff	application/x-troff
rp	image/vnd.rn-realpix
rp9	application/vnd.cloanto.rp9
rpm	application/x-rpm
rpss	application/vnd.nokia.radio-presets
rpst	application/vnd.nokia.radio-preset
rq	application/sparql-query
rqy	text/x-ms-rqy
rrf	application/x-InstallFromTheWeb
rs	application/rls-services+xml
rsd	application/rsd+xml
rss	application/rss+xml
rt	text/richtext
rtc	application/rtc
rtf	application/rtf
rtsp	application/x-rtsp
rtx	text/richtext
rv	video/vnd.rn-realvideo
s	text/x-asm
s3m	audio/s3m
saf	application/vnd.yamaha.smaf-audio
sbk	application/x-tbook
sbml	application/sbml+xml
sc	application/vnd.ibm.secure-container
sca	application/x-supercard
scd	application/x-msschedule
scert	application/x-x509-server-cert
sch	application/schdpl32
scm	video/x-scm
scq	application/scvp-cv-request
scs	application/scvp-cv-response
scurl	text/vnd.curl.scurl
sd2	audio/x-sd2
sda	application/vnd.stardivision.draw
sdc	application/vnd.stardivision.calc
sdd	application/vnd.stardivision.impress
sdkd	application/vnd.solent.sdkm+xml
sdkm	application/vnd.solent.sdkm+xml
sdml	text/plain
sdp	application/sdp
sdr	application/sounder
sdv	video/sd-video
sdw	application/vnd.stardivision.writer
sea	application/sea
see	application/vnd.seemail
seed	application/vnd.fdsn.seed
sema	application/vnd.sema
semd	application/vnd.semd
semf	application/vnd.semf
ser	application/java-serialized-object
set	application/set
setpay	application/set-payment-initiation
setreg	application/set-registration-initiation
sfd-hdstx	application/vnd.hydrostatix.sof-data
sfs	application/vnd.spotfire.sfs
sgi	image/x-sgi
sgl	application/vnd.stardivision.writer-global
sgm	text/sgml
sgml	text/sgml
sh	application/x-sh
sha	application/sha
shar	application/x-bsh
shf	application/shf+xml
shtm	text/html
shtml	text/html
shw	application/presentations
sid	audio/x-psid
sig	application/pgp-signature
silo	model/mesh
sis	application/vnd.symbian.install
sisx	application/vnd.symbian.install
sit	application/x-sit
sitx	application/x-stuffitx
skd	application/x-koan
skm	application/x-koan
skp	application/x-koan
skt	application/x-koan
sl	application/x-seelogo
slc	application/x-salsa
sldm	application/vnd.ms-powerpoint.slide.macroenabled.12
sldx	application/vnd.openxmlformats-officedocument.presentationml.slide
slt	application/vnd.epson.salt
sm	application/vnd.stepmania.stepchart
smf	application/vnd.stardivision.math
smi	application/smil
smil	application/smil
sml	application/smil
smp	application/studiom
snd	audio/basic
snf	application/x-font-snf
sol	application/solids
spc	text/x-speech
spf	application/vnd.yamaha.smaf-phrase
spl	application/futuresplash
spot	text/vnd.in3d.spot
spp	application/scvp-vp-response
spq	application/scvp-vp-request
spr	application/x-sprite
sprite	application/x-sprite
spx	audio/ogg
sql	text/plain
src	application/x-wais-source
sru	application/sru+xml
srx	application/sparql-results+xml
sse	application/vnd.kodak-descriptor
ssf	application/vnd.epson.ssf
ssi	text/x-server-parsed-html
ssm	application/streamingmedia
ssml	application/ssml+xml
sst	application/vnd.ms-pki.certstore
st	application/vnd.sailingtracker.track
stc	application/vnd.sun.xml.calc.template
std	application/vnd.sun.xml.draw.template
step	application/step
stf	application/vnd.wt.stf
sti	application/vnd.sun.xml.impress.template
stk	application/hstu
stl	application/sla
stp	application/step
str	application/vnd.pg.format
stream	audio/x-qt-stream
stw	application/vnd.sun.xml.writer.template
sub	image/vnd.dvb.subtitle
sus	application/vnd.sus-calendar
susp	application/vnd.sus-calendar
sv4cpio	application/x-sv4cpio
sv4crc	application/x-sv4crc
svc	application/vnd.dvb.service
svd	application/vnd.svd
svf	image/vnd
svg	image/svg+xml
svgz	image/svg+xml
svh	image/svh
svr	x-world/x-svr
swa	application/x-director
swf	application/x-shockwave-flash
swi	application/vnd.aristanetworks.swi
sxc	application/vnd.sun.xml.calc
sxd	application/vnd.sun.xml.draw
sxg	application/vnd.sun.xml.writer.global
sxi	application/vnd.sun.xml.impress
sxm	application/vnd.sun.xml.math
sxw	application/vnd.sun.xml.writer
t	application/x-troff
